timestamp,frame,slot,rnti,log_sync,amf_state,smf_pdu_status,log_rsrp,est_rsrq,est_sinr_dl,pusch_snr,pucch_snr,cqi,log_ph,log_pcmax,dl_thp_kbps,ul_thp_kbps,prb_tot_dl,prb_tot_ul,dl_prb,ul_prb,smf_pdu_sessions,dl_bler,ul_bler,log_dlsch_err,log_ulsch_err,log_harq_dl,log_harq_ul,rlc_retx,amf_auth_events,dl_mcs1,ul_mcs1,dl_tbs,ul_tbs,rlc_sdu_delay_us,rlc_txbuf,bsr,dl_mcs2,ul_mcs2,dl_aggr_tbs,ul_aggr_tbs,dl_sched_rb,ul_sched_rb,phr,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_rxbuf,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,pdcp_vol_dl_kb,pdcp_vol_ul_kb
1768232258505816,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258515814,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258525777,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258535692,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258545633,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258555652,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258565670,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258575665,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258585703,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768232258595619,529,11,20106,in-sync,Idle,Active,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,1,0.0,0.0,0,0,1,1,0,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
